ProjectName,Proposal,ProjectLocation,AnticipatedDateOfSubmission,Stage,Region,LatLong
"A1 Birtley to Coal House Improvement Scheme","TR01 - Highways","The scheme is located on the A1 Newcastle Gateshead Western Bypass, between junctions 65 and 67.",2019-08-14,7,"North East","54.913419576902, -1.589733633446"
"A1 in Northumberland - Morpeth to Ellingham","TR01 - Highways","The scheme consists of two parts on the A1 in Northumberland",0000-00-00,6,"North East","55.304531346311, -1.7243721702394"
"A12 Chelmsford to A120 Widening Scheme","TR01 - Highways","From Junction 19 of the A12 to the East of Chelmsford to Junction 25 with the A120 at Marks Tey",0000-00-00,4,Eastern,"51.81691227551, 0.66941292616416"
"A14 Cambridge to Huntingdon Improvement Scheme","TR01 - Highways","Linear route between Cambridge and Huntingdon, Cambridgeshire",0000-00-00,7,Eastern,"52.278298797179, -0.024425190045976"
"A160 - A180 Port of Immingham Improvement","TR01 - Highways","Between Brocklesby Interchange and the Port of Immingham, North and North East Lincolnshire",2014-01-08,7,"Yorkshire and the Humber","53.616228362692, -0.28130982068221"
"A19 / A184 Testos Junction Improvement","TR01 - Highways",Sunderland,2017-07-14,7,"North East","54.941537684309, -1.4723285279145"
"A19 Downhill Lane Junction Improvement","TR01 - Highways","Sunderland/South Tyneside",2018-04-27,7,"North East","54.934034082814, -1.4622810294136"
"A19/A1058 Coast Road Junction Improvement","TR01 - Highways","North Tyneside where the A1058 passes over the A19 approximately 1.5 miles north of the Tyne Tunnel",0000-00-00,7,"North East","55.009142705196, -1.4961024255982"
"A2 Bean and Ebbsfleet junction improvements","TR01 - Highways","On the A2 trunk road seperated by approximatley 1.2 miles (2 kilometres) within north Kent.",0000-00-00,8,"South East","51.430073980777, 0.30462411864142"
"A27 Arundel Bypass","TR01 - Highways","From Crossbush junction to the East of Arundel to near Yapton Lane to the west of Arundel",0000-00-00,1,"South East","50.842871178314, -0.53784295143368"
"A30 Chiverton to Carland Cross Scheme","TR01 - Highways","A30 trunk road between Chiverton and Carland Cross junctions.",0000-00-00,7,"South West","50.312370961563, -5.0893755493183"
"A30 Temple to Higher Carblake Improvement","TR01 - Highways","Approximately 3 miles north east of Bodmin",0000-00-00,7,"South West","50.537857923832, -4.6046076928618"
"A303 Sparkford to Ilchester Dualling","TR01 - Highways","Between the Podimore Bypass and Sparkford Bypass",0000-00-00,7,"South West","51.024462734615, -2.6062114436735"
"A303 Stonehenge","TR01 - Highways","Linear route between Amesbury and Berwick Down, Wiltshire",0000-00-00,6,"South West","51.171233294644, -1.8583777768001"
"A358 Taunton to Southfields","TR01 - Highways","The A358 Trunk Road between Southfields Roundabout on the A303 and Junction 25 of the M5 at Taunton.",0000-00-00,1,"South West","50.973584459998, -3.006553108634"
